factor,metric,count,mean,std,t_stat,p_value,ic_ir_annual,positive_ratio,abs_gt_0.02_ratio
factor_zscore,ic,2910,0.05317209821215751,0.13538893035292,21.185910616236306,9.257612076384596e-93,6.2344896967643475,0.6776632302405499,0.8945017182130585
factor_zscore,rank_ic,2910,0.05790105160480922,0.14302496737909126,21.838413686844348,4.965049600643363e-98,6.426505218046462,0.6776632302405499,0.9027491408934708
factor_zscore_neutral,ic,2910,0.05425861890698168,0.10691262509592199,27.377023980431655,5.063057331776267e-147,8.056381291596017,0.7058419243986255,0.8759450171821306
factor_zscore_neutral,rank_ic,2910,0.05881875906020121,0.10953417782846957,28.967612307559946,2.4980632902289994e-162,8.5244521107788,0.718213058419244,0.8852233676975945
factor_rank_zscore,ic,2910,0.045204785759080574,0.13337758190629073,18.283025722610926,8.967904964749885e-71,5.3802424431046205,0.656701030927835,0.8848797250859106
factor_rank_zscore,rank_ic,2910,0.058015230213020394,0.1430250254998938,21.881469292207015,2.2085610994982778e-98,6.439175418203722,0.6780068728522337,0.902405498281787
factor_rank_zscore_neutral,ic,2910,0.046327339693186954,0.10338101847693447,24.173695653722774,8.3946595760307e-118,7.1137209637026935,0.6869415807560137,0.8776632302405498
factor_rank_zscore_neutral,rank_ic,2910,0.05731188318780797,0.11220403672418085,27.553875505273773,1.0643528343228963e-148,8.108424322903822,0.7109965635738832,0.8852233676975945
